"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Tom Riddle ","Slughorn","Yes, sir.  I couldn?t think of anyone else to go to.  The other Professors, well, they?re not like you.  They might... misunderstand. ","yes, sir.  i couldn?t think of anyone else to go to.  the other professors, well, they?re not like you.  they might... misunderstand. ","yes, sir.  i couldn?t think of anyone else to go to.  the other professors, well, they?re not like you.  they might... misunderstand. ","yes, sir.   couldn?t think  anyone else  go .    professors, well, ?re  like .   might... misunderstand. ","yes sir   couldnt think  anyone else  go     professors well re  like    might misunderstand ","yes sir   couldnt think  anyone else  go     professors well re  like    might misunderstand ","yes sir couldnt think anyone else go professors well re like might misunderstand ","ye sir couldnt think anyon els go professor well re like might misunderstand","yes sir couldnt think anyone else go professor good re like may misunderstand"
"Slughorn","Tom Riddle ","Go on.","go on.","go on.","go .","go ","go ","go ","go","go"
"Tom Riddle ","Slughorn","I was in the library the other night, in the Restricted section, and I read something rather odd, about a bit of rare magic and I thought perhaps you could illuminate me.  It?s called, as I understand it... a Horcrux. ","i was in the library the other night, in the restricted section, and i read something rather odd, about a bit of rare magic and i thought perhaps you could illuminate me.  it?s called, as i understand it... a horcrux. ","i was in the library the other night, in the restricted section, and i read something rather odd, about a bit of rare magic and i thought perhaps you could illuminate me.  it?s called, as i understand it... a horcrux. ","    library   night,   restricted section,   read something rather odd,   bit  rare magic   thought perhaps   illuminate .  ?s called,   understand ...  horcrux. ","    library   night   restricted section   read something rather odd   bit  rare magic   thought perhaps   illuminate   s called   understand   horcrux ","    library   night   restricted section   read something rather odd   bit  rare magic   thought perhaps   illuminate   s called   understand   horcrux "," library night restricted section read something rather odd bit rare magic thought perhaps illuminate s called understand horcrux ","librari night restrict section read someth rather odd bit rare magic thought perhap illumin  call understand horcrux","library night restrict section read something rather odd bite rare magic think perhaps illuminate s call understand horcrux"
"Slughorn","Tom Riddle ","Excuse me?","excuse me?","excuse me?","excuse ?","excuse ","excuse ","excuse ","excus","excuse"
"Tom Riddle ","Slughorn","Horcrux.  I came across the term while reading and I didn?t fully understand it","horcrux.  i came across the term while reading and i didn?t fully understand it","horcrux.  i came across the term while reading and i didn?t fully understand it","horcrux.   came across  term  reading   didn?t fully understand ","horcrux   came across  term  reading   didnt fully understand ","horcrux   came across  term  reading   didnt fully understand ","horcrux came across term reading didnt fully understand ","horcrux came across term read didnt fulli understand","horcrux come across term read didnt fully understand"
"Slughorn","Tom Riddle ","I?m not sure what you were reading, Tom, but that?s very Dark stuff, very Dark indeed. ","i?m not sure what you were reading, tom, but that?s very dark stuff, very dark indeed. ","i?m not sure what you were reading, tom, but that?s very dark stuff, very dark indeed. ","?m  sure    reading, tom,  ?s  dark stuff,  dark indeed. ","m  sure    reading tom  s  dark stuff  dark indeed ","m  sure    reading tom  s  dark stuff  dark indeed ","m sure reading tom s dark stuff dark indeed ","m sure read tom  dark stuff dark inde","be sure read tom s dark stuff dark indeed"
"Tom Riddle ","Slughorn","Yes, sir.  Which is why I came to you.  I mean no disrespect to the rest of the staff, but I thought if anyone could tell me... it would be you. ","yes, sir.  which is why i came to you.  i mean no disrespect to the rest of the staff, but i thought if anyone could tell me... it would be you. ","yes, sir.  which is why i came to you.  i mean no disrespect to the rest of the staff, but i thought if anyone could tell me... it would be you. ","yes, sir.      came  .   mean  disrespect   rest   staff,   thought  anyone  tell ...    . ","yes sir      came     mean  disrespect   rest   staff   thought  anyone  tell      ","yes sir      came     mean  disrespect   rest   staff   thought  anyone  tell      ","yes sir came mean disrespect rest staff thought anyone tell ","ye sir came mean disrespect rest staff thought anyon tell","yes sir come mean disrespect rest staff think anyone tell"
"Slughorn","Tom Riddle ","A Horcrux is an object in which a person has concealed part of their soul. ","a horcrux is an object in which a person has concealed part of their soul. ","a horcrux is an object in which a person has concealed part of their soul. "," horcrux   object    person  concealed part   soul. "," horcrux   object    person  concealed part   soul "," horcrux   object    person  concealed part   soul "," horcrux object person concealed part soul ","horcrux object person conceal part soul","horcrux object person conceal part soul"
"Tom Riddle ","Slughorn","Yes, I thought it might be something like that.  But I don?t understand how that works, sir. ","yes, i thought it might be something like that.  but i don?t understand how that works, sir. ","yes, i thought it might be something like that.  but i don?t understand how that works, sir. ","yes,  thought  might  something like .    don?t understand   works, sir. ","yes  thought  might  something like     dont understand   works sir ","yes  thought  might  something like     dont understand   works sir ","yes thought might something like dont understand works sir ","ye thought might someth like dont understand work sir","yes think may something like do understand work sir"
"Slughorn","Tom Riddle ","One splits one?s soul and hides part of it in an object.  By doing so, you are protected should you be attacked and your body destroyed. ","one splits one?s soul and hides part of it in an object.  by doing so, you are protected should you be attacked and your body destroyed. ","one splits one?s soul and hides part of it in an object.  by doing so, you are protected should you be attacked and your body destroyed. ","one splits one?s soul  hides part     object.    ,   protected    attacked   body destroyed. ","one splits ones soul  hides part     object       protected    attacked   body destroyed ","one splits ones soul  hides part     object       protected    attacked   body destroyed ","one splits ones soul hides part object protected attacked body destroyed ","on split on soul hide part object protect attack bodi destroi","one split one soul hide part object protect attack body destroy"
"Tom Riddle ","Slughorn","Protected?","protected?","protected?","protected?","protected","protected","protected","protect","protect"
"Slughorn","Tom Riddle ","That part of your soul that was hidden, lives on.  In other words, you cannot die. ","that part of your soul that was hidden, lives on.  in other words, you cannot die. ","that part of your soul that was hidden, lives on.  in other words, you cannot die. "," part   soul   hidden, lives .    words,   die. "," part   soul   hidden lives     words   die "," part   soul   hidden lives     words   die "," part soul hidden lives words die ","part soul hidden live word die","part soul hide life word die"
"Tom Riddle ","Slughorn","How does one split his soul, sir? ","how does one split his soul, sir? ","how does one split his soul, sir? ","  one split  soul, sir? ","  one split  soul sir ","  one split  soul sir "," one split soul sir ","on split soul sir","one split soul sir"
"Slughorn","Tom Riddle ","I think you can guess the answer to that, Tom. ","i think you can guess the answer to that, tom. ","i think you can guess the answer to that, tom. "," think  can guess  answer  , tom. "," think  can guess  answer   tom "," think  can guess  answer   tom "," think can guess answer tom ","think can guess answer tom","think can guess answer tom"
"Tom Riddle ","Slughorn","Murder.","murder.","murder.","murder.","murder","murder","murder","murder","murder"
"Slughorn","Tom Riddle ","Yes.  Killing rips the soul apart.  It is a violation against nature.  After, one is never the same. ","yes.  killing rips the soul apart.  it is a violation against nature.  after, one is never the same. ","yes.  killing rips the soul apart.  it is a violation against nature.  after, one is never the same. ","yes.  killing rips  soul apart.     violation  nature.  , one  never  . ","yes  killing rips  soul apart     violation  nature   one  never   ","yes  killing rips  soul apart     violation  nature   one  never   ","yes killing rips soul apart violation nature one never ","ye kill rip soul apart violat natur on never","yes kill rip soul apart violation nature one never"
